tweet_id,created_at,customer_text,response_tweet_id,in_response_to_tweet_id,proposed_intent,historical_response,final_intent,review_status,escalation_gold,notes
222640,Fri Oct 06 19:33:19 +0000 2017,"@AmazonHelp So it still says preparing for shipment, can I contact Amazon to mark it complete?",222641,222639.0,order_status,@AmazonHelp Can you send me a link so I could let them know that it was delivered? Thanks!,order_status,ASSISTANT_SEMANTIC_REVIEWED,no,Semantically reviewed against the labeling guide; not independently hand-labelled by a human.
1178889,Wed Oct 25 19:02:23 +0000 2017,@AmazonHelp Am Saswata Sekhar Sen alias Sekhar Sen!submitted up2date info 2 d page directed:Gv me contact details of d seller:jonyjony_tiny!,1178892,1178887.0,seller_or_marketplace_problem,"@149041 Thank you for sharing your details, Saswata. We'll check your concern and assist accordingly. Rest Assured. ^SV",seller_or_marketplace_problem,ASSISTANT_SEMANTIC_REVIEWED,no,Semantically reviewed against the labeling guide; not independently hand-labelled by a human.
898721,Sat Oct 21 03:37:28 +0000 2017,@AmazonHelp If I didn't get the confirmation of refund by Today then I will register FIR as well against @115850 for their cheating.,,898720.0,missing_or_not_received_order,,refund_status,ASSISTANT_SEMANTIC_REVIEWED,no,Semantically reviewed against the labeling guide; not independently hand-labelled by a human.
1808311,Wed Oct 18 03:00:23 +0000 2017,@AmazonHelp No cause you guys have a great track record of being fantastic. So I do not know where to reach out.,1808314,1808310.0,order_status,"@141700 I understand your concern. When you have time, we'd like to look into this with you. Reach us by clicking the link above. ^GM",other_unclear,ASSISTANT_SEMANTIC_REVIEWED,yes,Semantically reviewed against the labeling guide; not independently hand-labelled by a human.
2825481,Wed Nov 29 04:02:58 +0000 2017,"@AmazonHelp @115851 finally frustrated atfr 4 days of follow up, going to cancel the order. Thanks Amazon for such experience",2825482,65730.0,cancellation_request,@131040 I understand the problem is taking longer to get resolved. Please reply to our email with your concerns so that we can work on that. ^SC,cancellation_request,ASSISTANT_SEMANTIC_REVIEWED,no,Semantically reviewed against the labeling guide; not independently hand-labelled by a human.
350292,Sun Oct 08 13:56:30 +0000 2017,@AmazonHelp I had a gift card of 50k I hv not used an ur team is saying that it has been used.. how it can be possible,,350291.0,other_unclear,,payment_or_billing_problem,ASSISTANT_SEMANTIC_REVIEWED,yes,Semantically reviewed against the labeling guide; not independently hand-labelled by a human.
222629,Thu Oct 05 01:23:47 +0000 2017,"@AmazonHelp The order was bundled with Amazon Gift card that sent to me earlier. 100% Amazon's fault. Payment declined, can't cancel order. Stuck.",222625,222633.0,payment_or_billing_problem,"@169189 Which website did you use to place the order? For example, https://t.co/nUUp5MLhYl or https://t.co/m5ibk4bEQU? ^GM",payment_or_billing_problem,ASSISTANT_SEMANTIC_REVIEWED,no,Semantically reviewed against the labeling guide; not independently hand-labelled by a human.
2471009,Wed Nov 15 11:31:22 +0000 2017,@AmazonHelp Hello ! I want to ship from Amazon. Is there a discount code?,2471012,2471008.0,promotion_or_discount,"@706753 Hi, Wedyan. Currently we do not have any discount codes but you can check our Shipping Rates here
https://t.co/by06t951KI ^FZ",promotion_or_discount,ASSISTANT_SEMANTIC_REVIEWED,no,Semantically reviewed against the labeling guide; not independently hand-labelled by a human.
2440709,Tue Nov 14 23:11:48 +0000 2017,@AmazonHelp How can i see when i signed up? Because I’m pretty sure it was way less than 6 months but i was charged. Can i send my acct number?,2440711,2440708.0,other_unclear,"@699993 Unfortunately, we don't have access to your account via Twitter, therefore, we would like to look into this with you in real-time. Please contact us via phone or chat here:  https://t.co/hApLpMlfHN",payment_or_billing_problem,ASSISTANT_SEMANTIC_REVIEWED,no,Semantically reviewed against the labeling guide; not independently hand-labelled by a human.
1449011,Mon Oct 16 19:49:32 +0000 2017,@AmazonHelp I understand it’s not a lot of money but I’m just really confused when I haven’t ordered or even used my account for months.,1449014,1449010.0,account_or_login_problem,@456237 We can't access info via twitter but want to help. Please contact us directly to look into this: https://t.co/JzP7hlA23B ^JF,payment_or_billing_problem,ASSISTANT_SEMANTIC_REVIEWED,yes,Semantically reviewed against the labeling guide; not independently hand-labelled by a human.
